construction_name,construction_rotation,construction_center_lat,construction_center_lng,reference_point_lat,reference_point_lng,point2_lat,point2_lng,point3_lat,point3_lng,point4_lat,point4_lng
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),289,49.802341331727874,-97.08218099137383,49.803098082545084,-97.08241628313435,49.80300927916483,-97.08239876410633,49.80300262117933,-97.08227911118443,49.80307890325386,-97.08229613572966
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),170,49.80222121962945,-97.08201143314749,49.801721515102585,-97.082922827594,49.80177445783427,-97.08281098514512,49.80184176820636,-97.08290713454011,49.80177963175339,-97.08300377520331
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),188,49.80218926456693,-97.08214922071623,49.80189579335461,-97.08325525585714,49.80192383809579,-97.0831235394477,49.801985072318345,-97.08322892062547,49.801943064529965,-97.083279356322
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),255,49.80233930911115,-97.08221556608821,49.802881761373754,-97.08306628197235,49.80281446332804,-97.08297481787564,49.80285867528761,-97.08288114703646,49.80293200346308,-97.08298533378621
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),238,49.8025820872002,-97.08230412734312,49.802940302957424,-97.08336340184486,49.80289320521484,-97.0832454482797,49.803008267139106,-97.08320273630657,49.80300932352238,-97.08328769060749
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),350,49.802395796635814,-97.08216735349815,49.802895494015424,-97.08125593695151,49.80284255293027,-97.08136778386113,49.80276629137747,-97.08129647532026,49.8028386024964,-97.08114396956574
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),341,49.80212590011121,-97.08203877659763,49.80271146819673,-97.0812596998658,49.80264788608125,-97.08135733753639,49.80257221883338,-97.08125844996337,49.802627638753584,-97.08113432191416
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),68,49.80247615037924,-97.08208351882064,49.80200464913526,-97.08113673369937,49.80199331616622,-97.08131031348206,49.80196853405616,-97.08120929388498,49.80206425278508,-97.0812402195457
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),244,49.802199804072245,-97.08222712580822,49.802627521557504,-97.0832225756075,49.80257272407063,-97.08311289667931,49.80265237065267,-97.08300757491128,49.802683360128356,-97.0831400948619
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),4,49.80231544732296,-97.08206722735777,49.802657990582354,-97.08099558654541,49.80262408614042,-97.08112395447745,49.80255659289257,-97.08107591676034,49.8025815588553,-97.08093566048329
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),327,49.80239475331635,-97.08238967170138,49.8030845751123,-97.0818532208829,49.80300763620513,-97.0819241261449,49.8029461679901,-97.08180472081014,49.802999656385644,-97.0817261140115
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),212,49.802324077793735,-97.08235446277601,49.80234633462789,-97.0835498227613,49.802337376560814,-97.08341181943118,49.80243418436916,-97.08340696044182,49.802412847490025,-97.0835064807898
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),83,49.80234700346583,-97.08208200036542,49.80173340940854,-97.08135655157896,49.801682693780705,-97.08149857389347,49.80180826925934,-97.08143260994576,49.80176232450703,-97.08150965541584
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),283,49.80232533581934,-97.08220344905924,49.80306206695284,-97.08256001128015,49.80297493198952,-97.08252820589541,49.802999966663094,-97.08237807618993,49.803085753757394,-97.08241536004618
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),17,49.802340502416534,-97.08218759518971,49.80251867547119,-97.08102403440535,49.80250427764447,-97.08116092875329,49.802394513569126,-97.08112160661385,49.802443411906495,-97.0810026151072
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),347,49.80236847843106,-97.08220963041059,49.80289827770579,-97.08133998279466,49.80284163110113,-97.0814473834759,49.80278748153557,-97.0813035126616,49.802793188268474,-97.08125985877449
