construction_name,construction_rotation,reference_point_lat,reference_point_lng,point2_lat,point2_lng,point3_lat,point3_lng,point4_lat,point4_lng
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),137,49.80141461742608,-97.07760782579732,49.80136329624377,-97.07778716334005,49.80134099917904,-97.07764262455791,49.80142306447984,-97.07768519166763
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),331,49.80266079666579,-97.07678360967567,49.8026027863443,-97.07661167546654,49.80266622905242,-97.07660667204313,49.80272720340935,-97.07671388473965
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),348,49.80253486130282,-97.07653933738854,49.80247141200494,-97.07649645567116,49.80252890574066,-97.07635174607402,49.80258308100743,-97.07643680337287
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),55,49.80179146390326,-97.07634902035005,49.801686014218944,-97.07635928062794,49.80171055740361,-97.07629935941462,49.80174839296292,-97.07622741013058
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),230,49.802293902408515,-97.07831349318147,49.802369673317585,-97.07826248275951,49.80241416683393,-97.07838209498355,49.80234684960716,-97.0784601305682
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),24,49.802152166109025,-97.07626432645965,49.80204152905885,-97.07623201371744,49.8020785089324,-97.07607957869887,49.802144476679835,-97.07615966527898
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),240,49.802402498523406,-97.07823817259717,49.80249712149592,-97.07819285392283,49.80252841618566,-97.07824645332059,49.802436897294996,-97.07832417246888
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),328,49.80267791235726,-97.07683221357573,49.8026315547361,-97.07671473645063,49.80272508602326,-97.07662188418098,49.802747162693,-97.07675766013587
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),142,49.80143362679163,-97.07769525679477,49.801401891887046,-97.07786217771023,49.8013589452043,-97.07776635151485,49.801474184018,-97.07781656270525
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),315,49.80273232887548,-97.077056318239,49.80270689857425,-97.07689047950956,49.80277844755948,-97.07683903140479,49.802809580243654,-97.07701267735129
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),20,49.802199237835126,-97.07627572421922,49.802118569115066,-97.0761967931847,49.80211672232623,-97.07611174198298,49.80221570781799,-97.07611823548568
LONG TERM RIGHT LANE CLOSURE ON A MULTI-LANE STREET (USING CHEVRONS),48,49.80186946659376,-97.07630355239479,49.80174710850259,-97.07636328757302,49.80174441235918,-97.07624736249011,49.80184872301035,-97.0761427930107
